collection,box,pid,citation,creator,declarations,description,themes,label,image_description,associated_web_archives,order,layout,thumbnail,full,manifest
occupy,26,OWS011,"The Occupier Newsletter, 2011; PE.029 Printed Ephemera Collection on Subjects; box 26; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Organizing for the Occupation,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone;"" They purposefully keep people misinformed and fearful through their control of the media",An example of all the different forms of grassroots media that circulated about and by OWS during the height of the movement,Grassroots Organizing and Mutual Aid; Independent Media,,,,10,occupy_item,"/img/derivatives/iiif/images/OWS011_OWS011_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS011_OWS011_1/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS011/manifest.json
occupy,26,OWS012,"Welcome to Liberty Plaza pamphlet 2011; PE.029 Printed Ephemera Collection on Subjects; box 26; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Tucson,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""","A pamphlet that welcomes newcomers to Liberty Plaza, in the humerous tone of a travel brochure, perhaps a tongue in cheek nod to OWS as a spectacle that people ""visited"" but also still inviting people to participate",Grassroots Organizing and Mutual Aid,,,,11,occupy_item,"/img/derivatives/iiif/images/OWS012_OWS012_1/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS012_OWS012_1/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS012/manifest.json
occupy,26,OWS013,"Trayvon Martin Million Hoodie March flyer, 2012; PE.029 Printed Ephemera Collection on Subjects; box 26; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A flyer for million hoodie march honoring the life of Trayvon Martin and protesting police brutality,"Grassroots Organizing and Mutual Aid; Policing/Police Brutality, Prison Industrial Complex",,,,12,occupy_item,"/img/derivatives/iiif/images/OWS013/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS013/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS013/manifest.json
occupy,26,OWS014,"Altered Street Closure sign, 2011; PE.029 Printed Ephemera Collection on Subjects; box 26; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A street closure notice edited by protestors,Grassroots Organizing and Mutual Aid,,,,13,occupy_item,"/img/derivatives/iiif/images/OWS014/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS014/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS014/manifest.json
occupy,27,OWS015,"Trans Womens Statement, circa 2011-2012; PE.029 Printed Ephemera Collection on Subjects; box 27; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University","Unknown, signed collectively and anonymously by transwomen occupiers","""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",a statement from transwomen occupiers about misogyny and sexism against transwomen at the occupation,Grassroots Organizing and Mutual Aid; Inequality and Discriminiation,,,,14,occupy_item,"/img/derivatives/iiif/images/OWS015/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS015/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS015/manifest.json
occupy,27,OWS016,"Transforming the Occupation flyer circa 2011-2012; PE.029 Printed Ephemera Collection on Subjects; box 27; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Queering Occupy,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",A flier that amplifies trans day of remembrance and calls for trans awareness as a part of OWS,Grassroots Organizing and Mutual Aid; Inequality and Discriminiation,,,,15,occupy_item,"/img/derivatives/iiif/images/OWS016/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS016/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS016/manifest.json
occupy,1,OWS017,"OWS Email Asking for Supporters to Donate Supplies, October 14, 2011; TAM.630 Occupy Wall Street Archives Working Group Records; box 1 folder 20; Tamiment Library/Robert F. Wagner Labor Archives, New York University","Unknown, Anthony & Carol Bartleson, Mark D and Trisha Ham. ","Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","Email sent through Fast Mail message service on 10/14/11 from Anthony and Carol Bartleson who sent a camping pad and sleeping bag to assist those at Zucotti. They responded to an email sent by OWS that asked for donatons for those camping at Zucotti. Aside from sleeping bags, blankets, and tarps, the organizers also requested materials for their street medic team including duct tape, cold medicine, and baby wipes. Personal email address has been blocked out.",Grassroots Organizing and Mutual Aid,"OWS Email Asking for Supplies,","Email sent through Fast Mail message service on 10/14/11 from Anthony and Carol Bartleson who sent a camping pad and sleeping bag to assist those at Zucotti. They responded to an email sent by OWS that asked for donatons for those camping at Zucotti. Aside from sleeping bags, blankets, and tarps, the organizers also requested materials for their street medic team including duct tape, cold medicine, and baby wipes. Personal email address has been blocked out.",,16,occupy_item,"/img/derivatives/iiif/images/OWS017/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS017/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS017/manifest.json
occupy,27,OWS018,"Occupy Wall Street flyer, September 24, 2011; PE.029 Printed Ephemera Collection on Subjects; box 27; Occupy Wall Street (Robert Reiss Donation); Tamiment Library/Robert F. Wagner Labor Archives, New York University",Unknown,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",Fliers from the first few weeks of OWS,Grassroots Organizing and Mutual Aid,,,,17,occupy_item,"/img/derivatives/iiif/images/OWS018/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS018/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS018/manifest.json
occupy,26,OWS019,"Photograph of a protest banner that reads ""Occupy the Lens,"" 2011 (negative 0417); TAM.501 John Penley Photographs and Papers; box 26, folder Negatives 6-24-2011 - 1-7-2012; Tamiment Library/Robert F. Wagner Labor Archives, New York University",John Penley,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone;"" They purposefully keep people misinformed and fearful through their control of the media; ","A banner that reads ""Occupy the Lens: The World is Watching"" which perhaps carries several meanings. It can be read as a call to document the movement and take charge of media; it can also be read as a call to take control of and dismantle surveillance technologies and monitoring of protestors",Grassroots Organizing and Mutual Aid; Independent Media; Anti-Terrorism and Surveillance,,,,18,occupy_item,"/img/derivatives/iiif/images/OWS019/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS019/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS019/manifest.json
occupy,26,OWS020,"Photograph 1 of 2 of a protest banner that reads ""Occupy Wall Street,"" 2011 (negative 6809); TAM.501 John Penley Photographs and Papers; box 26, folder Negatives 6-24-2011 - 1-7-2012; Tamiment Library/Robert F. Wagner Labor Archives, New York University",John Penley,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone.""",Two part banner that reads Occupy Wall Street,Grassroots Organizing and Mutual Aid,,,,19,occupy_item,"/img/derivatives/iiif/images/OWS020_OWS020_01/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS020_OWS020_01/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS020/manifest.json
occupy,26,OWS021,"Photograph of a trombonist at a protest, playing their instrument which is wrapped in a sleeve that reads ""Tax the Rich,"" 2011 (negative 6809); TAM.501 John Penley Photographs and Papers; box 26, folder Negatives 6-24-2011 - 1-7-2012; Tamiment Library/Robert F. Wagner Labor Archives, New York University",John Penley,"""Exercise your right to peaceably assemble; occupy public space;  create a process to address the problems we face, and generate solutions accessible to everyone"" They have taken bailouts from taxpayers with impunity, and continue to give Executives exorbitant bonuses","Picture of a trombone with ""Tax the rich"" protest sign ",Grassroots Organizing and Mutual Aid; Political and Financial Corruption; Wealth Disparity,,,,20,occupy_item,"/img/derivatives/iiif/images/OWS021/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS021/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS021/manifest.json
occupy,1,OWS022,"Child's Illustration, Circa 2011-2021;TAM.630 Occupy Wall Street Archives Working Group Records; box 1 folder 23; Tamiment Library/Robert F. Wagner Labor Archives, New York University",Jack,"Exercise your right to peaceably assemble; occupy public space; create a process to address the problems we face, and generate solutions accessible to everyone.","A child's drawing that reads ""Don't Give Up"" above a rainbow and a smiling face on a plain white sheet of paper. The name ""Jack"" appears in the lower righthhand corner. This illustration was one of the many drawings and letters of support that were sent to OWS protesters from across the country during the fall of 2011. In some cases, entire classes sent letters and drawings to Zucotti as part of an assignment.",Grassroots Organizing and Mutual Aid,Child's Illustration,"A child's drawing that reads ""Don't Give Up"" above a rainbow and a smiling face on a plain white sheet of paper. The name ""Jack"" appears in the lower righthhand corner. ",,21,occupy_item,"/img/derivatives/iiif/images/OWS022/full/250,/0/default.jpg","/img/derivatives/iiif/images/OWS022/full/1140,/0/default.jpg",/img/derivatives/iiif/OWS022/manifest.json
